Date	Unemployment
01-1983	10.4
02-1983	10.4
03-1983	10.3
04-1983	10.2
05-1983	10.1
06-1983	10.1
07-1983	9.4
08-1983	9.5
09-1983	9.2
10-1983	8.8
11-1983	8.5
12-1983	8.3
01-1984	8.0
02-1984	7.8
03-1984	7.8
04-1984	7.7
05-1984	7.4
06-1984	7.2
07-1984	7.5
08-1984	7.5
09-1984	7.3
10-1984	7.4
11-1984	7.2
12-1984	7.3
01-1985	7.3
02-1985	7.2
03-1985	7.2
04-1985	7.3
05-1985	7.2
06-1985	7.4
07-1985	7.4
08-1985	7.1
09-1985	7.1
10-1985	7.1
11-1985	7.0
12-1985	7.0
01-1986	6.7
02-1986	7.2
03-1986	7.2
04-1986	7.1
05-1986	7.2
06-1986	7.2
07-1986	7.0
08-1986	6.9
09-1986	7.0
10-1986	7.0
11-1986	6.9
12-1986	6.6
01-1987	6.6
02-1987	6.6
03-1987	6.6
04-1987	6.3
05-1987	6.3
06-1987	6.2
07-1987	6.1
08-1987	6.0
09-1987	5.9
10-1987	6.0
11-1987	5.8
12-1987	5.7
01-1988	5.7
02-1988	5.7
03-1988	5.7
04-1988	5.4
05-1988	5.6
06-1988	5.4
07-1988	5.4
08-1988	5.6
09-1988	5.4
10-1988	5.4
11-1988	5.3
12-1988	5.3
01-1989	5.4
02-1989	5.2
03-1989	5.0
04-1989	5.2
05-1989	5.2
06-1989	5.3
07-1989	5.2
08-1989	5.2
09-1989	5.3
10-1989	5.3
11-1989	5.4
12-1989	5.4
01-1990	5.4
02-1990	5.3
03-1990	5.2
04-1990	5.4
05-1990	5.4
06-1990	5.2
07-1990	5.5
08-1990	5.7
09-1990	5.9
10-1990	5.9
11-1990	6.2
12-1990	6.3
01-1991	6.4
02-1991	6.6
03-1991	6.8
04-1991	6.7
05-1991	6.9
06-1991	6.9
07-1991	6.8
08-1991	6.9
09-1991	6.9
10-1991	7.0
11-1991	7.0
12-1991	7.3
01-1992	7.3
02-1992	7.4
03-1992	7.4
04-1992	7.4
05-1992	7.6
06-1992	7.8
07-1992	7.7
08-1992	7.6
09-1992	7.6
10-1992	7.3
11-1992	7.4
12-1992	7.4
01-1993	7.3
02-1993	7.1
03-1993	7.0
04-1993	7.1
05-1993	7.1
06-1993	7.0
07-1993	6.9
08-1993	6.8
09-1993	6.7
10-1993	6.8
11-1993	6.6
12-1993	6.5
01-1994	6.6
02-1994	6.6
03-1994	6.5
04-1994	6.4
05-1994	6.1
06-1994	6.1
07-1994	6.1
08-1994	6.0
09-1994	5.9
10-1994	5.8
11-1994	5.6
12-1994	5.5
01-1995	5.6
02-1995	5.4
03-1995	5.4
04-1995	5.8
05-1995	5.6
06-1995	5.6
07-1995	5.7
08-1995	5.7
09-1995	5.6
10-1995	5.5
11-1995	5.6
12-1995	5.6
01-1996	5.6
02-1996	5.5
03-1996	5.5
04-1996	5.6
05-1996	5.6
06-1996	5.3
07-1996	5.5
08-1996	5.1
09-1996	5.2
10-1996	5.2
11-1996	5.4
12-1996	5.4
01-1997	5.3
02-1997	5.2
03-1997	5.2
04-1997	5.1
05-1997	4.9
06-1997	5.0
07-1997	4.9
08-1997	4.8
09-1997	4.9
10-1997	4.7
11-1997	4.6
12-1997	4.7
01-1998	4.6
02-1998	4.6
03-1998	4.7
04-1998	4.3
05-1998	4.4
06-1998	4.5
07-1998	4.5
08-1998	4.5
09-1998	4.6
10-1998	4.5
11-1998	4.4
12-1998	4.4
01-1999	4.3
02-1999	4.4
03-1999	4.2
04-1999	4.3
05-1999	4.2
06-1999	4.3
07-1999	4.3
08-1999	4.2
09-1999	4.2
10-1999	4.1
11-1999	4.1
12-1999	4.0
01-2000	4.0
02-2000	4.1
03-2000	4.0
04-2000	3.8
05-2000	4.0
06-2000	4.0
07-2000	4.0
08-2000	4.1
09-2000	3.9
10-2000	3.9
11-2000	3.9
12-2000	3.9
01-2001	4.2
02-2001	4.2
03-2001	4.3
04-2001	4.4
05-2001	4.3
06-2001	4.5
07-2001	4.6
08-2001	4.9
09-2001	5.0
10-2001	5.3
11-2001	5.5
12-2001	5.7
01-2002	5.7
02-2002	5.7
03-2002	5.7
04-2002	5.9
05-2002	5.8
06-2002	5.8
07-2002	5.8
08-2002	5.7
09-2002	5.7
10-2002	5.7
11-2002	5.9
12-2002	6.0
01-2003	5.8
02-2003	5.9
03-2003	5.9
04-2003	6.0
05-2003	6.1
06-2003	6.3
07-2003	6.2
08-2003	6.1
09-2003	6.1
10-2003	6.0
11-2003	5.8
12-2003	5.7
01-2004	5.7
02-2004	5.6
03-2004	5.8
04-2004	5.6
05-2004	5.6
06-2004	5.6
07-2004	5.5
08-2004	5.4
09-2004	5.4
10-2004	5.5
11-2004	5.4
12-2004	5.4
01-2005	5.3
02-2005	5.4
03-2005	5.2
04-2005	5.2
05-2005	5.1
06-2005	5.0
07-2005	5.0
08-2005	4.9
09-2005	5.0
10-2005	5.0
11-2005	5.0
12-2005	4.9
01-2006	4.7
02-2006	4.8
03-2006	4.7
04-2006	4.7
05-2006	4.6
06-2006	4.6
07-2006	4.7
08-2006	4.7
09-2006	4.5
