Date,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,PR,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
01-1975,49.75,49.77,53.21,42.73,18.02,41.29,26.05,23.33,32.56,38.57,46.62,35.6,23.06,46.35,54.09,39.2,47,51.51,42.91,48.87,23.41,30.39,18.05,39.2,38.63,42.5,59.56,45.68,40.11,63.01,49.65,33.59,28.37,40.71,30.77,28.58,44.27,51.12,37.19,36.05,23.21,35.6,46.59,53.11,45.59,45.8,44.26,38.08,35.6,35.71,25.18,43.82,39.78,55.16
02-1975,50.15,49.15,51.66,43.36,18.19,41.3,25.99,23.7,34.3,42.21,46.19,35.9,22.54,47.98,53.1,38.53,45.97,51.61,43.34,50.06,23.23,30.46,22.85,39.71,38.68,44.15,58.7,46.01,40.33,60.95,49.66,34.42,27.79,41.39,31.37,28.27,44.2,51.32,37.33,35.91,23.77,35.9,45.76,53.66,45.65,46.64,44.76,37.43,35.9,36.03,25.39,44.09,45.29,54.81
03-1975,50.59,48.16,49.48,44.21,18.35,41.31,25.93,24.19,35.29,47.43,45.55,36.2,21.91,49.99,51.98,37.68,44.61,51.64,43.79,51.7,22.99,30.45,29.36,40.27,38.6,46.53,57.63,46.21,40.54,58.09,49.91,35.85,27.08,42.14,31.9,27.85,44.16,51.65,37.34,35.56,24.44,36.2,44.66,54.8,45.84,47.79,45.53,36.63,36.2,36.91,25.54,44.37,51.85,54.28
04-1975,51.04,47.17,47.31,45.06,18.5,41.32,25.86,24.68,36.28,52.65,44.9,36.5,21.27,52,50.86,36.84,43.25,51.67,44.24,53.33,22.75,30.44,35.87,40.82,38.51,48.9,56.57,46.41,40.75,55.23,50.15,37.28,26.37,42.89,32.42,27.43,44.12,51.99,37.35,35.21,25.11,36.5,43.55,55.95,46.02,48.95,46.3,35.82,36.5,37.79,25.69,44.66,58.41,53.75
05-1975,51.49,46.18,45.14,45.92,18.66,41.34,25.8,25.17,37.27,57.87,44.25,36.8,20.64,54,49.74,36,41.89,51.69,44.7,54.97,22.5,30.43,42.38,41.38,38.43,51.28,55.5,46.61,40.96,52.38,50.39,38.72,25.66,43.64,32.95,27.01,44.07,52.32,37.36,34.86,25.78,36.8,42.45,57.09,46.2,50.11,47.06,35.01,36.8,38.68,25.84,44.95,64.97,53.22
06-1975,51.59,47.74,47.24,45.21,18.89,41.33,25.76,24.86,43.42,52.31,45.09,36.8,20.78,53.44,49.56,36.32,42.78,52.23,44.97,53.58,22.7,30.96,37.2,41.64,39.26,48.64,55.89,47.66,41.2,54.96,49.1,36.04,25.77,43.88,33.93,27.29,43.84,51.71,38.32,35.98,25.68,36.8,43.2,54.18,45.57,49.05,46.02,35.34,36.8,35.69,26.4,45.09,64.37,53.94
07-1975,51.7,49.3,49.34,44.5,19.11,41.32,25.73,24.55,49.56,46.75,45.92,36.7,20.92,52.87,49.37,36.65,43.67,52.77,45.25,52.19,22.9,31.48,32.01,41.9,40.1,46.01,56.28,48.71,41.44,57.53,47.82,33.36,25.88,44.12,34.91,27.57,43.6,51.11,39.29,37.1,25.58,36.7,43.94,51.27,44.94,48,44.99,35.67,36.7,32.7,26.96,45.24,63.78,54.66
08-1975,51.81,50.86,51.44,43.79,19.34,41.31,25.69,24.24,55.71,41.19,46.75,36.7,21.06,52.3,49.18,36.97,44.56,53.31,45.53,50.8,23.09,32,26.82,42.16,40.94,43.37,56.67,49.77,41.69,60.11,46.53,30.68,25.99,44.36,35.89,27.85,43.36,50.5,40.25,38.22,25.47,36.7,44.68,48.35,44.3,46.95,43.95,36,36.7,29.71,27.52,45.39,63.19,55.38
09-1975,52.61,49.33,50.21,42.56,19.57,41.6,25.63,26.04,46.95,42.44,46.39,37,21.65,53.06,48.28,37.71,44.39,53.46,45.95,51.72,23.63,32.23,28.72,41.79,41.27,43.66,56.79,48.98,42.32,58,49.03,29.62,26.57,42.93,36.52,28.34,43.83,51.04,39.55,37.52,25.87,37,44.03,49.04,45.64,48.33,45.88,36,37,31.48,27.02,47.01,63.53,56.65
10-1975,53.41,47.79,48.99,41.33,19.8,41.88,25.57,27.85,38.2,43.69,46.03,37.2,22.23,53.83,47.38,38.44,44.23,53.61,46.36,52.63,24.18,32.46,30.62,41.42,41.61,43.95,56.91,48.19,42.95,55.88,51.53,28.56,27.15,41.51,37.15,28.83,44.3,51.59,38.84,36.83,26.26,37.2,43.37,49.72,46.98,49.71,47.82,36,37.2,33.25,26.52,48.64,63.87,57.92
11-1975,54.22,46.26,47.77,40.1,20.02,42.17,25.51,29.65,29.45,44.94,45.67,37.5,22.82,54.6,46.49,39.17,44.07,53.77,46.78,53.54,24.72,32.69,32.52,41.05,41.94,44.24,57.03,47.41,43.58,53.77,54.03,27.51,27.73,40.08,37.78,29.33,44.77,52.13,38.14,36.13,26.66,37.5,42.72,50.4,48.32,51.09,49.76,36,37.5,35.01,26.01,50.27,64.21,59.2
12-1975,54.65,48.28,49.15,41,20.3,41.78,26.06,28.52,31.58,44.34,45.11,37.5,22.18,54.94,47.54,39.09,43.59,54.51,46.99,54.79,24.23,32.68,29.34,41.3,42.76,44.27,57.19,47.98,43.12,57.82,53.52,29.36,27.4,41.47,38,28.2,44.82,52.15,39.61,36.33,26.27,37.5,42.45,49.69,47.9,50.43,49.91,36.36,37.5,33.6,26.55,49.01,62.06,59.74
01-1976,55.08,50.3,50.54,41.9,20.57,41.39,26.62,27.4,33.71,43.74,44.54,37.5,21.54,55.27,48.6,39,43.11,55.25,47.2,56.03,23.73,32.67,26.16,41.56,43.58,44.3,57.34,48.56,42.66,61.87,53.02,31.21,27.08,42.85,38.22,27.08,44.87,52.17,41.08,36.53,25.88,37.5,42.19,48.98,47.48,49.77,50.07,36.72,37.5,32.19,27.08,47.76,59.9,60.28
02-1976,55.51,52.33,51.93,42.8,20.84,41,27.17,26.27,35.84,43.15,43.97,37.5,20.9,55.61,49.66,38.92,42.63,56,47.41,57.28,23.24,32.66,22.97,41.81,44.4,44.32,57.5,49.14,42.2,65.92,52.51,33.06,26.76,44.24,38.44,25.95,44.92,52.19,42.55,36.73,25.49,37.5,41.93,48.28,47.05,49.11,50.22,37.07,37.5,30.78,27.62,46.5,57.74,60.82
03-1976,56.26,51.94,52.16,44.32,21.19,42.74,26.91,26.58,36.79,45.85,44.35,38.2,21.35,56.22,51.2,39.51,43.89,56.15,47.11,57.27,23.46,33.21,25.36,42.05,44.28,47.7,58.39,51.29,42.32,64.95,52.65,31.28,27.03,44.74,38.3,26.25,45.5,54.91,42.12,37.56,25.85,38.2,44.13,49.94,46.62,50.94,49.94,36.81,38.2,28.6,28.22,46.53,59.87,61.02
04-1976,57.01,51.55,52.39,45.84,21.55,44.47,26.65,26.89,37.75,48.55,44.72,38.8,21.8,56.84,52.73,40.11,45.14,56.3,46.81,57.25,23.69,33.76,27.74,42.29,44.16,51.07,59.28,53.44,42.44,63.98,52.8,29.49,27.3,45.25,38.15,26.54,46.07,57.63,41.69,38.38,26.21,38.8,46.34,51.61,46.18,52.76,49.65,36.55,38.8,26.42,28.82,46.56,62,61.22
05-1976,57.76,51.16,52.62,47.36,21.9,46.2,26.39,27.2,38.71,51.24,45.09,39.5,22.25,57.45,54.26,40.71,46.4,56.45,46.51,57.24,23.91,34.3,30.13,42.52,44.03,54.44,60.16,55.59,42.56,63,52.94,27.71,27.58,45.75,38.01,26.84,46.65,60.35,41.26,39.2,26.56,39.5,48.54,53.27,45.74,54.59,49.37,36.29,39.5,24.24,29.42,46.6,64.13,61.42
