Date	Rate (Avg)
04-1971	7.560
05-1971	7.680
06-1971	7.780
07-1971	7.850
08-1971	7.950
09-1971	7.940
10-1971	7.880
11-1971	7.800
12-1971	7.730
01-1972	7.690
02-1972	7.545
03-1972	7.515
04-1972	7.515
05-1972	7.595
06-1972	7.595
07-1972	7.625
08-1972	7.625
09-1972	7.670
10-1972	7.670
11-1972	7.680
12-1972	7.690
01-1973	7.665
02-1973	7.690
03-1973	7.685
04-1973	7.765
05-1973	7.875
06-1973	7.955
07-1973	8.300
08-1973	8.750
09-1973	9.095
10-1973	9.045
11-1973	8.830
12-1973	8.790
01-1974	8.790
02-1974	8.710
03-1974	8.660
04-1974	8.830
05-1974	9.245
06-1974	9.390
07-1974	9.605
08-1974	9.915
09-1974	10.310
10-1974	10.355
11-1974	10.140
12-1974	9.945
01-1975	9.730
02-1975	9.400
03-1975	9.165
04-1975	9.070
05-1975	9.185
06-1975	9.140
07-1975	9.165
08-1975	9.215
09-1975	9.395
10-1975	9.495
11-1975	9.425
12-1975	9.375
01-1976	9.295
02-1976	9.060
03-1976	9.085
04-1976	9.055
05-1976	9.085
06-1976	9.175
07-1976	9.230
08-1976	9.300
09-1976	9.280
10-1976	9.220
11-1976	9.135
12-1976	9.090
01-1977	8.995
02-1977	8.945
03-1977	8.990
04-1977	9.025
05-1977	9.105
06-1977	9.135
07-1977	9.215
08-1977	9.215
09-1977	9.175
10-1977	9.220
11-1977	9.195
12-1977	9.260
01-1978	9.335
02-1978	9.465
03-1978	9.525
04-1978	9.675
05-1978	9.895
06-1978	10.060
07-1978	10.090
08-1978	10.105
09-1978	10.085
10-1978	10.160
11-1978	10.410
12-1978	10.700
01-1979	10.765
02-1979	10.785
03-1979	10.805
04-1979	10.875
05-1979	11.090
06-1979	11.440
07-1979	11.515
08-1979	11.515
09-1979	11.700
10-1979	12.065
11-1979	13.255
12-1979	13.300
01-1980	13.280
02-1980	13.440
03-1980	15.780
04-1980	16.795
05-1980	14.735
06-1980	13.160
07-1980	12.640
