,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TN,TX,UT,VA,VI,VT,WA,WI,WV,WY
2005,0.0,0.161,0.0,0.024,0.016,0.0,0.038,0.0,0.088,0.053,0.026,0.0,0.0,0.038,0.054,0.029,0.064,0.042,0.056,2.156,0.03,0.027,0.0,0.059,0.165,0.014,0.503,0.0,0.042,0.0,0.06,0.0,0.042,0.057,0.035,0.074,0.061,0.046,0.021,0.042,0.115,0.0,0.088,0.0,0.075,0.087,0.082,0.039,0.0,0.0,0.039,0.029,0.0,0.0
2006,0.045,0.069,0.05,0.049,0.052,0.079,0.185,0.249,0.089,0.098,0.087,0.0,0.075,0.082,0.067,0.1,0.115,0.108,0.126,0.18,0.098,0.076,0.182,0.116,0.113,0.144,0.03,0.062,0.092,0.063,0.076,0.035,0.126,0.067,0.035,0.075,0.1,0.096,0.033,0.122,0.497,0.087,0.177,0.0,0.087,0.06,0.044,0.051,4.348,0.043,0.025,0.114,0.134,0.0
2007,0.0,0.143,0.207,0.128,0.117,0.086,0.195,0.058,0.139,0.255,0.163,0.0,0.102,0.151,0.091,0.171,0.19,0.126,0.178,0.171,0.224,0.136,0.205,0.241,0.183,0.195,0.2,0.093,0.132,0.038,0.099,0.113,0.242,0.06,0.182,0.201,0.171,0.143,0.07,0.163,0.373,0.266,0.236,0.058,0.18,0.121,0.055,0.122,0.0,0.08,0.059,0.126,0.179,0.11
2008,0.064,0.303,0.29,0.436,0.365,0.202,0.332,0.296,0.367,0.64,0.392,0.0,0.336,0.278,0.22,0.302,0.243,0.186,0.251,0.349,0.289,0.31,0.382,0.415,0.313,0.244,0.305,0.219,0.241,0.213,0.156,0.284,0.4,0.169,0.489,0.241,0.303,0.223,0.176,0.287,0.578,0.516,0.274,0.25,0.334,0.211,0.172,0.212,5.882,0.096,0.154,0.245,0.358,0.059
2009,0.299,0.49,0.45,1.009,0.666,0.278,0.607,0.551,0.475,1.098,0.693,0.141,0.547,0.482,0.567,0.563,0.366,0.275,0.401,0.429,0.468,0.565,0.653,0.661,0.522,0.405,0.595,0.253,0.406,0.516,0.393,0.644,0.662,0.34,1.232,0.453,0.394,0.354,0.418,0.408,0.751,0.8,0.497,0.195,0.454,0.322,0.453,0.417,0.0,0.227,0.364,0.333,0.647,0.406
2010,0.102,0.583,0.483,0.87,0.439,0.3,0.391,0.345,0.406,0.843,0.6,0.225,0.383,0.331,0.561,0.461,0.307,0.234,0.319,0.633,0.414,0.567,0.357,0.534,0.362,0.363,0.709,0.344,0.417,0.189,0.242,0.449,0.491,0.315,0.993,0.397,0.296,0.339,0.346,0.367,1.135,0.715,0.424,0.189,0.376,0.284,0.444,0.404,1.02,0.382,0.342,0.313,0.53,0.368
2011,0.089,0.418,0.299,0.605,0.324,0.193,0.364,0.284,0.31,0.63,0.483,0.369,0.195,0.241,0.403,0.365,0.234,0.244,0.279,0.51,0.297,0.441,0.472,0.355,0.323,0.377,0.665,0.244,0.295,0.149,0.222,0.424,0.493,0.271,0.678,0.315,0.232,0.29,0.276,0.334,0.927,0.365,0.35,0.139,0.346,0.214,0.317,0.307,1.02,0.253,0.326,0.203,0.43,0.277
2012,0.042,0.365,0.227,0.456,0.217,0.16,0.273,0.246,0.236,0.488,0.409,0.415,0.224,0.145,0.205,0.322,0.155,0.204,0.189,0.34,0.263,0.373,0.345,0.304,0.187,0.211,0.42,0.212,0.248,0.079,0.132,0.331,0.392,0.231,0.537,0.303,0.198,0.247,0.271,0.357,0.633,0.512,0.314,0.139,0.273,0.206,0.177,0.242,1.02,0.133,0.286,0.177,0.47,0.187
2013,0.092,0.471,0.359,0.36,0.196,0.121,0.224,0.139,0.159,0.415,0.436,0.343,0.302,0.175,0.282,0.268,0.241,0.147,0.178,0.423,0.235,0.31,0.333,0.302,0.203,0.249,0.463,0.173,0.294,0.129,0.081,0.262,0.354,0.209,0.343,0.282,0.193,0.256,0.217,0.34,0.716,0.459,0.271,0.107,0.301,0.213,0.242,0.226,0.952,0.187,0.221,0.164,0.58,0.213
2014,0.176,0.442,0.254,0.318,0.176,0.11,0.262,0.054,0.203,0.351,0.349,0.267,0.136,0.174,0.333,0.253,0.202,0.184,0.224,0.335,0.264,0.387,0.35,0.264,0.164,0.261,0.533,0.261,0.296,0.026,0.047,0.34,0.335,0.309,0.192,0.289,0.2,0.286,0.169,0.356,0.968,0.459,0.33,0.066,0.293,0.215,0.196,0.216,1.02,0.162,0.191,0.203,0.352,0.222
2015,0.179,0.475,0.272,0.305,0.149,0.141,0.308,0.088,0.239,0.329,0.31,0.372,0.164,0.199,0.179,0.245,0.172,0.128,0.241,0.339,0.306,0.313,0.264,0.233,0.143,0.202,0.571,0.207,0.234,0.029,0.133,0.345,0.357,0.301,0.282,0.268,0.186,0.259,0.164,0.324,0.749,0.338,0.279,0.0,0.273,0.226,0.227,0.217,0.0,0.236,0.159,0.165,0.62,0.224
2016,0.099,0.471,0.251,0.375,0.148,0.191,0.256,0.0,0.33,0.317,0.346,0.41,0.017,0.227,0.268,0.265,0.198,0.201,0.204,0.453,0.245,0.358,0.245,0.199,0.14,0.243,0.562,0.222,0.23,0.04,0.086,0.261,0.383,0.329,0.335,0.286,0.19,0.27,0.124,0.288,0.645,0.311,0.282,0.153,0.359,0.291,0.253,0.206,0.0,0.241,0.142,0.134,0.408,0.183
