State,Mnth,DataYear,UnemploymentRate
AK,JAN,1990,8.5
AK,FEB,1990,8.6000003815
AK,MAR,1990,8.1999998093
AK,APR,1990,7.5999999046
AK,MAY,1990,7.1999998093
AK,JUN,1990,7.0999999046
AK,JUL,1990,6.0999999046
AK,AUG,1990,6
AK,SEP,1990,6.1999998093
AK,OCT,1990,6.6999998093
AK,NOV,1990,7.1999998093
AK,DEC,1990,7.5
AK,JAN,1991,8.6999998093
AK,FEB,1991,9.1000003815
AK,MAR,1991,8.8999996185
AK,APR,1991,8.5
AK,MAY,1991,8.1999998093
AK,JUN,1991,8.5
AK,JUL,1991,7.5999999046
AK,AUG,1991,7.3000001907
AK,SEP,1991,7.9000000954
AK,OCT,1991,8.3999996185
AK,NOV,1991,9.1000003815
AK,DEC,1991,9.5
AK,JAN,1992,10.6000003815
AK,FEB,1992,10.6999998093
AK,MAR,1992,10.1999998093
AK,APR,1992,9.5
AK,MAY,1992,9.1000003815
AK,JUN,1992,9.1000003815
AK,JUL,1992,7.9000000954
AK,AUG,1992,7.5
AK,SEP,1992,7.8000001907
AK,OCT,1992,8.1000003815
AK,NOV,1992,8.3999996185
AK,DEC,1992,8.3000001907
AK,JAN,1993,9
AK,FEB,1993,9.1000003815
AK,MAR,1993,8.6999998093
AK,APR,1993,8.1999998093
AK,MAY,1993,7.8000001907
AK,JUN,1993,7.6999998093
AK,JUL,1993,6.6999998093
AK,AUG,1993,6.3000001907
AK,SEP,1993,6.6999998093
AK,OCT,1993,7
AK,NOV,1993,7.5
AK,DEC,1993,7.5999999046
AK,JAN,1994,8.8000001907
AK,FEB,1994,9
AK,MAR,1994,8.6999998093
AK,APR,1994,8.1999998093
AK,MAY,1994,7.9000000954
AK,JUN,1994,7.5999999046
AK,JUL,1994,6.8000001907
AK,AUG,1994,6.3000001907
AK,SEP,1994,6.4000000954
AK,OCT,1994,6.8000001907
AK,NOV,1994,7.3000001907
AK,DEC,1994,7.5
AK,JAN,1995,8.5
AK,FEB,1995,8.6000003815
AK,MAR,1995,8.1000003815
AK,APR,1995,7.4000000954
AK,MAY,1995,7
AK,JUN,1995,7.3000001907
AK,JUL,1995,6.3000001907
AK,AUG,1995,6
AK,SEP,1995,6.5
AK,OCT,1995,6.8000001907
AK,NOV,1995,7.5
AK,DEC,1995,7.9000000954
AK,JAN,1996,9
AK,FEB,1996,9
AK,MAR,1996,8.6999998093
AK,APR,1996,8.1000003815
AK,MAY,1996,7.4000000954
AK,JUN,1996,7.5
AK,JUL,1996,6.6999998093
AK,AUG,1996,6.3000001907
AK,SEP,1996,6.5
AK,OCT,1996,6.9000000954
AK,NOV,1996,7.4000000954
AK,DEC,1996,7.8000001907
AK,JAN,1997,8.6000003815
AK,FEB,1997,8.8000001907
AK,MAR,1997,8.3999996185
AK,APR,1997,7.8000001907
AK,MAY,1997,7.0999999046
AK,JUN,1997,7.1999998093
AK,JUL,1997,6.3000001907
AK,AUG,1997,5.9000000954
AK,SEP,1997,6.0999999046
AK,OCT,1997,6.3000001907
AK,NOV,1997,6.5999999046
AK,DEC,1997,6.6999998093
AK,JAN,1998,7.5
AK,FEB,1998,7.5999999046
AK,MAR,1998,7.1999998093
AK,APR,1998,6.5
AK,MAY,1998,6.1999998093
AK,JUN,1998,6.5
AK,JUL,1998,5.5
AK,AUG,1998,5.1999998093
AK,SEP,1998,5.5
AK,OCT,1998,5.8000001907
AK,NOV,1998,6.3000001907
AK,DEC,1998,6.5
AK,JAN,1999,7.5
AK,FEB,1999,8
AK,MAR,1999,7.5
AK,APR,1999,6.9000000954
AK,MAY,1999,6.5999999046
AK,JUN,1999,6.5999999046
AK,JUL,1999,5.6999998093
AK,AUG,1999,5.1999998093
AK,SEP,1999,5.4000000954
AK,OCT,1999,5.6999998093
AK,NOV,1999,6.1999998093
AK,DEC,1999,6.4000000954
AK,JAN,2000,7.4000000954
AK,FEB,2000,7.5
AK,MAR,2000,7.1999998093
AK,APR,2000,6.6999998093
AK,MAY,2000,6.4000000954
AK,JUN,2000,6.4000000954
AK,JUL,2000,5.5
AK,AUG,2000,5.1999998093
AK,SEP,2000,5.5999999046
AK,OCT,2000,5.8000001907
AK,NOV,2000,6.3000001907
AK,DEC,2000,6.5
AK,JAN,2001,7.5
AK,FEB,2001,7.4000000954
AK,MAR,2001,7.0999999046
AK,APR,2001,6.6999998093
AK,MAY,2001,6.4000000954
AK,JUN,2001,6.5
AK,JUL,2001,5.5999999046
AK,AUG,2001,5.3000001907
AK,SEP,2001,5.5
AK,OCT,2001,5.9000000954
AK,NOV,2001,6.5
AK,DEC,2001,6.8000001907
AK,JAN,2002,7.8000001907
AK,FEB,2002,8
AK,MAR,2002,8
AK,APR,2002,7.5999999046
AK,MAY,2002,7.1999998093
AK,JUN,2002,7.4000000954
AK,JUL,2002,6.5999999046
AK,AUG,2002,6.3000001907
AK,SEP,2002,6.5999999046
AK,OCT,2002,6.9000000954
AK,NOV,2002,7.4000000954
AK,DEC,2002,7.6999998093
AK,JAN,2003,8.6999998093
AK,FEB,2003,9
AK,MAR,2003,8.6999998093
AK,APR,2003,8.1999998093
AK,MAY,2003,7.6999998093
AK,JUN,2003,7.9000000954
AK,JUL,2003,7.0999999046
AK,AUG,2003,6.6999998093
AK,SEP,2003,6.9000000954
AK,OCT,2003,7.1999998093
AK,NOV,2003,7.8000001907
AK,DEC,2003,8
AK,JAN,2004,8.8000001907
AK,FEB,2004,8.8999996185
AK,MAR,2004,8.5
AK,APR,2004,7.8000001907
AK,MAY,2004,7.4000000954
AK,JUN,2004,7.5999999046
AK,JUL,2004,6.5
AK,AUG,2004,6.1999998093
AK,SEP,2004,6.5
AK,OCT,2004,6.8000001907
AK,NOV,2004,7.1999998093
AK,DEC,2004,7.3000001907
AK,JAN,2005,8.1000003815
AK,FEB,2005,8.1999998093
AK,MAR,2005,7.6999998093
AK,APR,2005,7
AK,MAY,2005,6.6999998093
AK,JUN,2005,6.8000001907
AK,JUL,2005,6
AK,AUG,2005,5.6999998093
AK,SEP,2005,6
AK,OCT,2005,6.4000000954
AK,NOV,2005,6.9000000954
AK,DEC,2005,7.0999999046
AK,JAN,2006,7.9000000954
AK,FEB,2006,7.9000000954
AK,MAR,2006,7.5
AK,APR,2006,7
AK,MAY,2006,6.5999999046
AK,JUN,2006,6.5
AK,JUL,2006,5.8000001907
AK,AUG,2006,5.5
AK,SEP,2006,5.6999998093
AK,OCT,2006,6
AK,NOV,2006,6.4000000954
AK,DEC,2006,6.5999999046
AK,JAN,2007,7.3000001907
AK,FEB,2007,7.3000001907
AK,MAR,2007,7.0999999046
AK,APR,2007,6.5
AK,MAY,2007,6.1999998093
AK,JUN,2007,6.4000000954
AK,JUL,2007,5.5999999046
AK,AUG,2007,5.4000000954
AK,SEP,2007,5.5999999046
AK,OCT,2007,5.8000001907
AK,NOV,2007,6.3000001907
AK,DEC,2007,6.5
AK,JAN,2008,7.4000000954
AK,FEB,2008,7.5999999046
AK,MAR,2008,7.3000001907
AK,APR,2008,6.9000000954
AK,MAY,2008,6.5999999046
AK,JUN,2008,6.6999998093
AK,JUL,2008,6
AK,AUG,2008,5.8000001907
AK,SEP,2008,5.9000000954
AK,OCT,2008,6.3000001907
AK,NOV,2008,6.8000001907
AK,DEC,2008,7
AK,JAN,2009,8
AK,FEB,2009,8.3000001907
AK,MAR,2009,8.3000001907
AK,APR,2009,7.9000000954
AK,MAY,2009,7.6999998093
AK,JUN,2009,7.9000000954
AK,JUL,2009,7.0999999046
AK,AUG,2009,6.9000000954
AK,SEP,2009,7.1999998093
AK,OCT,2009,7.5999999046
AK,NOV,2009,8
AK,DEC,2009,8
AK,JAN,2010,8.8999996185
AK,FEB,2010,9.1000003815
AK,MAR,2010,8.8999996185
AK,APR,2010,8.3000001907
AK,MAY,2010,7.8000001907
AK,JUN,2010,7.8000001907
AK,JUL,2010,7
AK,AUG,2010,6.8000001907
AK,SEP,2010,7
AK,OCT,2010,7.3000001907
AK,NOV,2010,7.6999998093
AK,DEC,2010,8
AK,JAN,2011,8.6999998093
AK,FEB,2011,8.8000001907
AK,MAR,2011,8.3999996185
AK,APR,2011,7.9000000954
AK,MAY,2011,7.4000000954
AK,JUN,2011,7.5999999046
AK,JUL,2011,6.8000001907
AK,AUG,2011,6.5999999046
AK,SEP,2011,6.6999998093
AK,OCT,2011,7
AK,NOV,2011,7.4000000954
AK,DEC,2011,7.8000001907
AK,JAN,2012,8.1999998093
AK,FEB,2012,8.3000001907
AK,MAR,2012,8
AK,APR,2012,7.5
AK,MAY,2012,7.0999999046
AK,JUN,2012,7.1999998093
AK,JUL,2012,6.5
AK,AUG,2012,6.0999999046
AK,SEP,2012,6.3000001907
AK,OCT,2012,6.4000000954
AK,NOV,2012,6.9000000954
AK,DEC,2012,7.1999998093
AK,JAN,2013,7.9000000954
AK,FEB,2013,7.9000000954
AK,MAR,2013,7.5
AK,APR,2013,7.0999999046
AK,MAY,2013,6.9000000954
AK,JUN,2013,7
AK,JUL,2013,6.1999998093
AK,AUG,2013,5.9000000954
AK,SEP,2013,6.1999998093
AK,OCT,2013,6.5999999046
